timestamp,device_id,data_type,data_value,numeric_value
2025-06-17 06:54:33,TEST001,Temperature,22.5°C,22.5
2025-06-17 06:54:33,Arm_968,Temperature (°C),32.9,32.9
2025-06-17 06:54:34,Arm_968,Humidity (%),49,49.0
2025-06-17 06:54:35,Arm_968,Air Quality Index (AQI),179,179.0
2025-06-17 06:54:36,Arm_968,Soil Moisture (%),16,16.0
2025-06-17 06:54:37,Arm_968,Particulate Matter 2.5 Micrometers (pm2.5),479,479.0
2025-06-17 06:54:39,Arm_968,Particulate Matter 10 Micrometers (pm10),237,237.0
2025-06-17 06:54:40,Arm_968,Ozone Concentration (o3),0.105,0.105
2025-06-17 06:54:41,Arm_968,Nitrogen Dioxide Concentration (no2),391,391.0
2025-06-17 06:54:42,Arm_968,Sulfur Dioxide Concentration (so2),537,537.0
2025-06-17 06:54:43,Arm_968,Carbon Monoxide Concentration (co),43.36,43.36
2025-06-17 06:54:44,Arm_968,Water Quality Index,210,210.0
2025-06-17 06:54:45,Arm_968,Water pH Level,7.99,7.99
2025-06-17 06:54:46,Arm_968,Water Turbidity,85.7,85.7
2025-06-17 06:54:47,Arm_968,Contamination Level,35,35.0
2025-06-17 06:54:49,Serve_918,Temperature (°C),30.7,30.7
2025-06-17 06:54:50,Serve_918,Humidity (%),77,77.0
2025-06-17 06:54:51,Serve_918,Air Quality Index (AQI),75,75.0
2025-06-17 06:54:52,Serve_918,Soil Moisture (%),27,27.0
2025-06-17 06:54:53,Serve_918,Particulate Matter 2.5 Micrometers (pm2.5),245,245.0
2025-06-17 06:54:54,Serve_918,Particulate Matter 10 Micrometers (pm10),433,433.0
2025-06-17 06:54:55,Serve_918,Ozone Concentration (o3),0.01,0.01
2025-06-17 06:54:56,Serve_918,Nitrogen Dioxide Concentration (no2),1608,1608.0
2025-06-17 06:54:57,Serve_918,Sulfur Dioxide Concentration (so2),734,734.0
2025-06-17 06:54:59,Serve_918,Carbon Monoxide Concentration (co),7.26,7.26
2025-06-17 06:55:00,Serve_918,Water Quality Index,156,156.0
2025-06-17 06:55:01,Serve_918,Water pH Level,7.37,7.37
2025-06-17 06:55:02,Serve_918,Water Turbidity,50.9,50.9
2025-06-17 06:55:03,Serve_918,Contamination Level,357,357.0
2025-06-17 06:55:04,Every_472,Temperature (°C),25.7,25.7
2025-06-17 06:55:05,Every_472,Humidity (%),41,41.0
2025-06-17 06:55:06,Every_472,Air Quality Index (AQI),170,170.0
2025-06-17 06:55:07,Every_472,Soil Moisture (%),22,22.0
2025-06-17 06:55:09,Every_472,Particulate Matter 2.5 Micrometers (pm2.5),207,207.0
2025-06-17 06:55:10,Every_472,Particulate Matter 10 Micrometers (pm10),232,232.0
2025-06-17 06:55:11,Every_472,Ozone Concentration (o3),0.163,0.163
2025-06-17 06:55:12,Every_472,Nitrogen Dioxide Concentration (no2),587,587.0
2025-06-17 06:55:13,Every_472,Sulfur Dioxide Concentration (so2),561,561.0
2025-06-17 06:55:14,Every_472,Carbon Monoxide Concentration (co),36.33,36.33
2025-06-17 06:55:15,Every_472,Water Quality Index,316,316.0
2025-06-17 06:55:16,Every_472,Water pH Level,6.63,6.63
2025-06-17 06:55:17,Every_472,Water Turbidity,11.6,11.6
2025-06-17 06:55:18,Every_472,Contamination Level,222,222.0
2025-06-17 06:55:20,Forget_663,Temperature (°C),30.1,30.1
2025-06-17 06:55:21,Forget_663,Humidity (%),47,47.0
2025-06-17 06:55:22,Forget_663,Air Quality Index (AQI),72,72.0
2025-06-17 06:55:23,Forget_663,Soil Moisture (%),26,26.0
2025-06-17 06:55:24,Forget_663,Particulate Matter 2.5 Micrometers (pm2.5),236,236.0
2025-06-17 06:55:25,Forget_663,Particulate Matter 10 Micrometers (pm10),219,219.0
2025-06-17 06:55:26,Forget_663,Ozone Concentration (o3),0.255,0.255
2025-06-17 06:55:27,Forget_663,Nitrogen Dioxide Concentration (no2),1057,1057.0
2025-06-17 06:55:28,Forget_663,Sulfur Dioxide Concentration (so2),609,609.0
2025-06-17 06:55:29,Forget_663,Carbon Monoxide Concentration (co),19.84,19.84
2025-06-17 06:55:31,Forget_663,Water Quality Index,222,222.0
2025-06-17 06:55:32,Forget_663,Water pH Level,4.05,4.05
2025-06-17 06:55:33,Forget_663,Water Turbidity,4.1,4.1
2025-06-17 06:55:34,Forget_663,Contamination Level,43,43.0
2025-06-17 06:55:35,Safe_507,Temperature (°C),25.3,25.3
2025-06-17 06:55:36,Safe_507,Humidity (%),78,78.0
2025-06-17 06:55:37,Safe_507,Air Quality Index (AQI),176,176.0
2025-06-17 06:55:38,Safe_507,Soil Moisture (%),25,25.0
2025-06-17 06:55:39,Safe_507,Particulate Matter 2.5 Micrometers (pm2.5),135,135.0
2025-06-17 06:55:40,Safe_507,Particulate Matter 10 Micrometers (pm10),423,423.0
